timestamp_utc,funding_rate,settlement_hour_utc
2024-08-01 08:00:00,0.0001,8
2024-08-01 16:00:00,0.0001,16
2024-08-02 00:00:00,0.0001,0
2024-08-02 08:00:00,0.0001,8
2024-08-02 16:00:00,0.0001,16
2024-08-03 00:00:00,0.0001,0
2024-08-03 08:00:00,9.788e-05,8
2024-08-03 16:00:00,4.247e-05,16
2024-08-04 00:00:00,0.0001,0
2024-08-04 08:00:00,5.343e-05,8
2024-08-04 16:00:00,0.0001,16
2024-08-05 00:00:00,0.0001,0
2024-08-05 08:00:00,4.429e-05,8
2024-08-05 16:00:00,5.967e-05,16
2024-08-06 00:00:00,3.566e-05,0
2024-08-06 08:00:00,-2.845e-05,8
2024-08-06 16:00:00,4.485e-05,16
2024-08-07 00:00:00,-7.3e-06,0
2024-08-07 08:00:00,-6.859e-05,8
2024-08-07 16:00:00,3.241e-05,16
2024-08-08 00:00:00,2.637e-05,0
2024-08-08 08:00:00,3.086e-05,8
2024-08-08 16:00:00,1.147e-05,16
2024-08-09 00:00:00,4.994e-05,0
2024-08-09 08:00:00,2.184e-05,8
2024-08-09 16:00:00,4.846e-05,16
2024-08-10 00:00:00,-3.942e-05,0
2024-08-10 08:00:00,-1.379e-05,8
2024-08-10 16:00:00,-1.949e-05,16
2024-08-11 00:00:00,4.049e-05,0
2024-08-11 08:00:00,-1.839e-05,8
2024-08-11 16:00:00,1.185e-05,16
2024-08-12 00:00:00,1.113e-05,0
2024-08-12 08:00:00,8.783e-05,8
2024-08-12 16:00:00,-2.238e-05,16
2024-08-13 00:00:00,6.14e-05,0
2024-08-13 08:00:00,5.21e-06,8
2024-08-13 16:00:00,-3.902e-05,16
2024-08-14 00:00:00,1.152e-05,0
2024-08-14 08:00:00,-1.33e-05,8
2024-08-14 16:00:00,-7.811e-05,16
2024-08-15 00:00:00,-8.488e-05,0
2024-08-15 08:00:00,6.339e-05,8
2024-08-15 16:00:00,-6.181e-05,16
2024-08-16 00:00:00,-0.00011235,0
2024-08-16 08:00:00,-7.387e-05,8
2024-08-16 16:00:00,-5.57e-06,16
2024-08-17 00:00:00,1.912e-05,0
2024-08-17 08:00:00,4.177e-05,8
2024-08-17 16:00:00,-1.52e-06,16
2024-08-18 00:00:00,3.966e-05,0
2024-08-18 08:00:00,-1.323e-05,8
2024-08-18 16:00:00,-3.149e-05,16
2024-08-19 00:00:00,-3.616e-05,0
2024-08-19 08:00:00,-6.75e-05,8
2024-08-19 16:00:00,-1.957e-05,16
2024-08-20 00:00:00,-2.656e-05,0
2024-08-20 08:00:00,1.349e-05,8
2024-08-20 16:00:00,1.419e-05,16
2024-08-21 00:00:00,-6.756e-05,0
2024-08-21 08:00:00,-5.91e-06,8
2024-08-21 16:00:00,3.96e-06,16
2024-08-22 00:00:00,-2.229e-05,0
2024-08-22 08:00:00,1.338e-05,8
2024-08-22 16:00:00,-7.261e-05,16
2024-08-23 00:00:00,-3.329e-05,0
2024-08-23 08:00:00,2.391e-05,8
2024-08-23 16:00:00,-4.317e-05,16
2024-08-24 00:00:00,-7.72e-06,0
2024-08-24 08:00:00,-7.23e-06,8
2024-08-24 16:00:00,6.395e-05,16
2024-08-25 00:00:00,-4.806e-05,0
2024-08-25 08:00:00,-1.531e-05,8
2024-08-25 16:00:00,3.108e-05,16
2024-08-26 00:00:00,2.439e-05,0
2024-08-26 08:00:00,3.448e-05,8
2024-08-26 16:00:00,3.789e-05,16
2024-08-27 00:00:00,2.795e-05,0
2024-08-27 08:00:00,1.751e-05,8
2024-08-27 16:00:00,7.753e-05,16
2024-08-28 00:00:00,-6.803e-05,0
2024-08-28 08:00:00,2.433e-05,8
2024-08-28 16:00:00,1.143e-05,16
2024-08-29 00:00:00,-9.76e-06,0
2024-08-29 08:00:00,-1.644e-05,8
2024-08-29 16:00:00,5.59e-06,16
2024-08-30 00:00:00,9.36e-06,0
2024-08-30 08:00:00,3.578e-05,8
2024-08-30 16:00:00,2.927e-05,16
2024-08-31 00:00:00,-1.749e-05,0
2024-08-31 08:00:00,3.578e-05,8
2024-08-31 16:00:00,3.8e-05,16
2024-09-01 00:00:00,4.113e-05,0
2024-09-01 08:00:00,-3.432e-05,8
2024-09-01 16:00:00,-3.82e-06,16
2024-09-02 00:00:00,-3.386e-05,0
2024-09-02 08:00:00,2.48e-06,8
2024-09-02 16:00:00,-3.63e-06,16
2024-09-03 00:00:00,6.245e-05,0
2024-09-03 08:00:00,5.123e-05,8
2024-09-03 16:00:00,4.598e-05,16
2024-09-04 00:00:00,2.209e-05,0
2024-09-04 08:00:00,1.05e-05,8
2024-09-04 16:00:00,-1.47e-05,16
2024-09-05 00:00:00,9.016e-05,0
2024-09-05 08:00:00,2.025e-05,8
2024-09-05 16:00:00,2.49e-05,16
2024-09-06 00:00:00,2.28e-05,0
2024-09-06 08:00:00,-1e-08,8
2024-09-06 16:00:00,1.428e-05,16
2024-09-07 00:00:00,-5.57e-06,0
2024-09-07 08:00:00,-7.634e-05,8
2024-09-07 16:00:00,-7.236e-05,16
2024-09-08 00:00:00,3.745e-05,0
2024-09-08 08:00:00,-5.999e-05,8
2024-09-08 16:00:00,-5.245e-05,16
2024-09-09 00:00:00,-7.585e-05,0
2024-09-09 08:00:00,-7.108e-05,8
2024-09-09 16:00:00,-3.875e-05,16
2024-09-10 00:00:00,-6.028e-05,0
2024-09-10 08:00:00,-2.93e-05,8
2024-09-10 16:00:00,-1.126e-05,16
2024-09-11 00:00:00,-8.953e-05,0
2024-09-11 08:00:00,-2.247e-05,8
2024-09-11 16:00:00,-5.212e-05,16
2024-09-12 00:00:00,-1.951e-05,0
2024-09-12 08:00:00,-5.46e-06,8
2024-09-12 16:00:00,-2.95e-05,16
2024-09-13 00:00:00,-6.9e-07,0
2024-09-13 08:00:00,-8.69e-06,8
2024-09-13 16:00:00,-2.443e-05,16
2024-09-14 00:00:00,-8.699e-05,0
2024-09-14 08:00:00,8.59e-06,8
2024-09-14 16:00:00,2.326e-05,16
2024-09-15 00:00:00,-4.91e-06,0
2024-09-15 08:00:00,1e-08,8
2024-09-15 16:00:00,4.02e-06,16
2024-09-16 00:00:00,2.402e-05,0
2024-09-16 08:00:00,3.564e-05,8
2024-09-16 16:00:00,6.762e-05,16
2024-09-17 00:00:00,8.529e-05,0
2024-09-17 08:00:00,1.911e-05,8
2024-09-17 16:00:00,5.327e-05,16
2024-09-18 00:00:00,1.344e-05,0
2024-09-18 08:00:00,1.678e-05,8
2024-09-18 16:00:00,4.648e-05,16
2024-09-19 00:00:00,3.512e-05,0
2024-09-19 08:00:00,2.949e-05,8
2024-09-19 16:00:00,4.072e-05,16
2024-09-20 00:00:00,8.065e-05,0
2024-09-20 08:00:00,-5.03e-06,8
2024-09-20 16:00:00,5.543e-05,16
2024-09-21 00:00:00,4.638e-05,0
2024-09-21 08:00:00,0.0001,8
2024-09-21 16:00:00,8.234e-05,16
2024-09-22 00:00:00,6.285e-05,0
2024-09-22 08:00:00,9.254e-05,8
2024-09-22 16:00:00,5.537e-05,16
2024-09-23 00:00:00,6.546e-05,0
2024-09-23 08:00:00,1.364e-05,8
2024-09-23 16:00:00,5.304e-05,16
2024-09-24 00:00:00,2.324e-05,0
2024-09-24 08:00:00,2.895e-05,8
2024-09-24 16:00:00,-1.82e-06,16
2024-09-25 00:00:00,1.223e-05,0
2024-09-25 08:00:00,1.141e-05,8
2024-09-25 16:00:00,1.336e-05,16
2024-09-26 00:00:00,1.65e-05,0
2024-09-26 08:00:00,6.246e-05,8
2024-09-26 16:00:00,0.0001,16
2024-09-27 00:00:00,0.0001,0
2024-09-27 08:00:00,6.722e-05,8
2024-09-27 16:00:00,2.275e-05,16
2024-09-28 00:00:00,5.455e-05,0
2024-09-28 08:00:00,8.3e-05,8
